,main,lvl1,lvl2,lvl3,4,5,6
0,Machine<br>Learning,Supervised,Classification,Logistic<br>Regression,,,
1,Machine<br>Learning,Supervised,Classification,Naive<br>Bayes,,,
2,Machine<br>Learning,Supervised,Classification,Support<br>Vector<br>Machines<br>(SVM),,,
3,Machine<br>Learning,Supervised,Classification,Decision<br>Tree<br>Classification,,,
4,Machine<br>Learning,Supervised,Classification,Random<br>Forest<br>Classification,,,
5,Machine<br>Learning,Supervised,Classification,Adaptive<br>Boosting<br>(AdaBoost),,,
6,Machine<br>Learning,Supervised,Classification,Gradient<br>Boosted<br>Trees,,,
7,Machine<br>Learning,Supervised,Classification,Extreme<br>Gradient<br>Boosting<br>(XGBoost),,,
8,Machine<br>Learning,Supervised,Classification,K-Nearest<br>Neighbors<br>Classification<br>(KNN),,,
9,Machine<br>Learning,Supervised,Regresion,Linear<br>Regression,,,
10,Machine<br>Learning,Supervised,Regresion,Multivariate<br>Adaptive<br>Regression<br>Splines<br>(MARS),,,
11,Machine<br>Learning,Supervised,Regresion,Locally<br>Weighted<br>Scatterplot<br>Smoothing<br>(LOWESS),,,
12,Machine<br>Learning,Supervised,Regresion,Support<br>Vector<br>Regression<br>(SVR),,,
13,Machine<br>Learning,Supervised,Regresion,Decision<br>Tree<br>Regression,,,
14,Machine<br>Learning,Supervised,Regresion,Random<br>Forest<br>Regression,,,
15,Machine<br>Learning,Supervised,Regresion,K-Nearest<br>Neighbors<br>Regression<br>(KNN),,,
16,Machine<br>Learning,Supervised,Neural<br>Networks,Feedforward<br>Neural<br>Networks<br>(FFNN),,,
17,Machine<br>Learning,Supervised,Neural<br>Networks,Long<br>Short<br>Term<br>Memory<br>Networks<br>(LSTM),,,
18,Machine<br>Learning,Supervised,Neural<br>Networks,Gated<br>Reccurent<br>Units<br>(GRU),,,
19,Machine<br>Learning,Supervised,Neural<br>Networks,Convolutional<br>Neural<br>Networks<br>(CNN),,,
20,Machine<br>Learning,Supervised,Neural<br>Networks,Generative<br>Adversarial<br>Networks<br>(GAN),,,
21,Machine<br>Learning,Supervised,Dimensionality<br>Reduction,Linear<br>Discriminant<br>Analysis<br>(LDA),,,
22,Machine<br>Learning,Unsupervised,Dimensionality<br>Reduction,Principal<br>Component<br>Analysis<br>(PCA),,,
23,Machine<br>Learning,Unsupervised,Dimensionality<br>Reduction,Multidimensional<br>Scaling<br>(MDS),,,
24,Machine<br>Learning,Unsupervised,Dimensionality<br>Reduction,Isomap<br>Embedding,,,
25,Machine<br>Learning,Unsupervised,Dimensionality<br>Reduction,t-Distributed<br>Stochastic<br>Neighbor<br>Embedding<br>(t-SNE),,,
26,Machine<br>Learning,Unsupervised,Dimensionality<br>Reduction,Locally<br>Linear<br>Embedding,,,
27,Machine<br>Learning,Unsupervised,Clustering,K-Means,,,
28,Machine<br>Learning,Unsupervised,Clustering,Gaussian<br>Mixture<br>Models<br>(GMM),,,
29,Machine<br>Learning,Unsupervised,Clustering,Hierarchical<br>Agglomerative<br>Clustering<br>(HAC),,,
30,Machine<br>Learning,Unsupervised,Clustering,Density-Based<br>Spatial<br>Clustering<br>of<br>Applications<br>with<br>Noise<br>(DBSCAN),,,
31,Machine<br>Learning,Unsupervised,Association,Apriori,,,
32,Machine<br>Learning,Reinforcement,Monte<br>Carlo<br>Methods,,,,
33,Machine<br>Learning,Reinforcement,Temporal-Difference<br>(TD),,,,
34,Machine<br>Learning,Reinforcement,Policy<br>Gradient,,,,
35,Machine<br>Learning,Reinforcement,Proximal<br>Policy<br>Optimization<br>(PPO),,,,
36,Machine<br>Learning,Reinforcement,SARSA<br>(State-Action-<br>Reward-State-Action),,,,
37,Machine<br>Learning,Reinforcement,Q-Learning,,,,
38,Machine<br>Learning,Reinforcement,Deep<br>Q<br>Neural<br>Network<br>(DQN),,,,
39,Machine<br>Learning,Semi-Supervised,Self<br>Training<br>Classifier,,,,
40,Machine<br>Learning,Semi-Supervised,Label<br>Propagation,,,,
41,Machine<br>Learning,Semi-Supervised,Label<br>Spreading,,,,
42,Machine<br>Learning,Semi-Supervised,Transductive<br>Support<br>Vector<br>Machine<br>(TSVM),,,,
43,Machine<br>Learning,Other,Probabilistic<br>Graphical<br>Models,Bayesian<br>Belief<br>Networks,,,
